title,organiser,blurb,description,guid,activity_or_event,url,is_free,price_display_teaser,price_display,price,min_price,max_price,age_group_display,min_age,max_age,datetime_display_teaser,datetime_display,start_datetime,end_datetime,venue_name,label_tag,Keyword_tag,full_address,categories,images,id,longitude,latitude,district,area,checked,source_file
HortPark: Nature Playgarden and Therapeutic Garden,National Parks Board (NParks),Explore nature playgarden and therapeutic garden at HortPark.,"HortPark features a Nature Playgarden designed to encourage outdoor play for preschoolers, fostering creativity and motor skills. The Therapeutic Garden enhances mental well-being through evidence-based design. Additionally, there are playgrounds with sandpit, slides, kiddie rides, and a space net for climbing. HortPark offers various venues for booking, suitable for organized tours and group activities. Vineyard restaurant is also located within the park. It's a family-friendly environment where children can engage in open-ended play and exercise their creativity.",https://www.nparks.gov.sg/visit/parks/park-detail/hortpark,activity,https://www.nparks.gov.sg/visit/parks/park-detail/hortpark,True,Free,Free,0.0,0.0,0.0,12 years old and below,0.0,12.0,Available daily,"Weekdays: 9am - 12pm, 1pm - 5pm, Weekends & PH: 8.30am - 12.30pm",1970-01-01T00:00:00,2099-12-31T23:59:00,HortPark,Sandpit,"Nature, garden, playground, sand, park","33 Hyderabad Rd, Singapore 119578",Outdoor Playground,"[{""url"": """", ""original_url"": ""https://www.nparks.gov.sg/visit/parks/park-detail/hortpark"", ""filename"": ""HortPark__Nature_Playgarden_and_Therapeutic_Garden_1.jpg"", ""local_path"": ""events_output/outdoor_add/images/HortPark__Nature_Playgarden_and_Therapeutic_Garden_1.jpg"", ""source_credit"": ""nparks""}, {""url"": """", ""original_url"": ""https://www.nparks.gov.sg/visit/parks/park-detail/hortpark"", ""filename"": ""HortPark__Nature_Playgarden_and_Therapeutic_Garden_2.jpg"", ""local_path"": ""events_output/outdoor_add/images/HortPark__Nature_Playgarden_and_Therapeutic_Garden_2.jpg"", ""source_credit"": ""nparks""}, {""url"": ""https://www.nparks.gov.sg/images/default-source/default-album/_system/amenitycategoryicons/nature.svg"", ""original_url"": ""https://www.nparks.gov.sg/images/default-source/default-album/_system/amenitycategoryicons/nature.svg"", ""filename"": ""HortPark__Nature_Playgarden_and_Therapeutic_Garden_3.jpg"", ""local_path"": ""events_output/outdoor_add/images/HortPark__Nature_Playgarden_and_Therapeutic_Garden_3.jpg"", ""source_credit"": ""National Parks Board (NParks)""}]",363.0,103.7998185,1.2791306999999998,Queenstown,Central Region,True,ns_hortpark.json
Fruit-based Theme Playground at Blk 686 CCK,Parklab,Uniquely crafted playground for healthy living.,"This fruit-based themed playground is designed to add nutrients to the neighbourhood residents’ healthy living lifestyle. It offers a unique play experience with various fruit-themed structures and play equipment, encouraging active play and imagination. The playground is suitable for children of all ages and provides a safe and engaging environment for them to explore and have fun. It aims to promote a healthy and active lifestyle among the residents by providing a fun and interactive play space. The design incorporates elements that stimulate creativity and physical activity, making it a valuable addition to the community. The playground is designed to be inclusive and accessible to all children, regardless of their abilities.",https://www.parklab.com.sg/portfolio/publicresidences/,activity,https://www.parklab.com.sg/portfolio/publicresidences/,True,Free,Free,0.0,0.0,0.0,12 years old and below,0.0,12.0,Available daily,Available daily,1970-01-01T00:00:00,2099-12-31T23:59:00,Blk 686 CCK,,"fruit, xylophone, sensory, slide, neighborhood, neighbourhood","686 Choa Chu Kang Cres, Singapore 683686",Outdoor Playground,"[{""url"": """", ""original_url"": ""https://www.parklab.com.sg/portfolios/myttc-lifestyle-harvest/"", ""filename"": ""Fruit_based_Theme_Playground_at_Blk_686_CCK_1.jpg"", ""local_path"": ""events_output/outdoor_add/images/user_uploads/Fruit_based_Theme_Playground_at_Blk_686_CCK_1.jpg"", ""source_credit"": ""parklab""}, {""url"": """", ""original_url"": ""https://www.parklab.com.sg/portfolios/myttc-lifestyle-harvest/"", ""filename"": ""Fruit_based_Theme_Playground_at_Blk_686_CCK_2.jpg"", ""local_path"": ""events_output/outdoor_add/images/user_uploads/Fruit_based_Theme_Playground_at_Blk_686_CCK_2.jpg"", ""source_credit"": ""parklab""}, {""url"": """", ""original_url"": ""https://www.parklab.com.sg/portfolios/myttc-lifestyle-harvest/"", ""filename"": ""Fruit_based_Theme_Playground_at_Blk_686_CCK_3.jpg"", ""local_path"": ""events_output/outdoor_add/images/user_uploads/Fruit_based_Theme_Playground_at_Blk_686_CCK_3.jpg"", ""source_credit"": ""parklab""}]",367.0,103.7489839,1.4040069,Choa Chu Kang,West Region,True,parklab.json
Lion-Themed Playground at 286-289 Choa Chu Kang,Parklab,Vibrant lion-themed playground with adventure and play.,"This vibrant lion-themed playground comes alive with adventure and play. At its center stands a majestic lion sculpture with a welcoming face, sparking imagination and excitement in young explorers. The playground is designed to provide a safe and engaging environment for children to explore and have fun. It features various play structures and equipment that encourage physical activity and creativity. The lion sculpture serves as a focal point, inspiring children to imagine and create their own stories and adventures. The playground is designed to be inclusive and accessible to all children, regardless of their abilities. It aims to promote a healthy and active lifestyle among the residents by providing a fun and interactive play space.",https://www.parklab.com.sg/portfolio/publicresidences/,activity,https://www.parklab.com.sg/portfolio/publicresidences/,True,Free,Free,0.0,0.0,0.0,12 years old and below,0.0,12.0,Available daily,Available daily,1970-01-01T00:00:00,2099-12-31T23:59:00,286-289 Choa Chu Kang Ave 2,,"lion, adventure, slide, sensory, neighborhood, neighbourhood",Singapore,Outdoor Playground,"[{""url"": """", ""original_url"": ""https://www.parklab.com.sg/portfolios/286-289-choa-chu-kang-ave-2/"", ""filename"": ""Lion_Themed_Playground_at_286_289_Choa_Chu_Kang_1.jpg"", ""local_path"": ""events_output/outdoor_add/images/user_uploads/Lion_Themed_Playground_at_286_289_Choa_Chu_Kang_1.jpg"", ""source_credit"": ""parklab""}, {""url"": """", ""original_url"": ""https://www.parklab.com.sg/portfolios/286-289-choa-chu-kang-ave-2/"", ""filename"": ""Lion_Themed_Playground_at_286_289_Choa_Chu_Kang_2.jpg"", ""local_path"": ""events_output/outdoor_add/images/user_uploads/Lion_Themed_Playground_at_286_289_Choa_Chu_Kang_2.jpg"", ""source_credit"": ""parklab""}, {""url"": """", ""original_url"": ""https://www.parklab.com.sg/portfolios/286-289-choa-chu-kang-ave-2/"", ""filename"": ""Lion_Themed_Playground_at_286_289_Choa_Chu_Kang_3.jpg"", ""local_path"": ""events_output/outdoor_add/images/user_uploads/Lion_Themed_Playground_at_286_289_Choa_Chu_Kang_3.jpg"", ""source_credit"": ""parklab""}]",368.0,103.740555,1.379481,Choa Chu Kang,West Region,True,parklab.json
Hedgehog Sculpture Playground at Choa Chu Kang,Parklab,Charming hedgehog sculpture with a friendly face.,"At its core is a charming hedgehog sculpture with a friendly face, inspiring imagination and play. Designed for safe fun, it features an elevated platform and a gentle, thrilling slide. The playground is designed to provide a safe and engaging environment for children to explore and have fun. It features various play structures and equipment that encourage physical activity and creativity. The hedgehog sculpture serves as a focal point, inspiring children to imagine and create their own stories and adventures. The playground is designed to be inclusive and accessible to all children, regardless of their abilities. It aims to promote a healthy and active lifestyle among the residents by providing a fun and interactive play space.",https://www.parklab.com.sg/portfolio/publicresidences/,activity,https://www.parklab.com.sg/portfolio/publicresidences/,True,Free,Free,0.0,0.0,0.0,12 years old and below,0.0,12.0,Available daily,Available daily,1970-01-01T00:00:00,2099-12-31T23:59:00,287-295 Choa Chu Kang Ave 2,,"hedgehog , slide, sensory, neighborhood, neighbourhood","287 Choa Chu Kang Ave 2, Singapore 680287",Outdoor Playground,"[{""url"": """", ""original_url"": ""https://www.parklab.com.sg/portfolios/287-295-choa-chu-kang-ave-2/"", ""filename"": ""Hedgehog_Sculpture_Playground_at_Choa_Chu_Kang_1.jpg"", ""local_path"": ""events_output/outdoor_add/images/user_uploads/Hedgehog_Sculpture_Playground_at_Choa_Chu_Kang_1.jpg"", ""source_credit"": ""parklab""}, {""url"": """", ""original_url"": ""https://www.parklab.com.sg/portfolios/287-295-choa-chu-kang-ave-2/"", ""filename"": ""Hedgehog_Sculpture_Playground_at_Choa_Chu_Kang_2.jpg"", ""local_path"": ""events_output/outdoor_add/images/user_uploads/Hedgehog_Sculpture_Playground_at_Choa_Chu_Kang_2.jpg"", ""source_credit"": ""parklab""}, {""url"": """", ""original_url"": ""https://www.parklab.com.sg/portfolios/287-295-choa-chu-kang-ave-2/"", ""filename"": ""Hedgehog_Sculpture_Playground_at_Choa_Chu_Kang_3.jpg"", ""local_path"": ""events_output/outdoor_add/images/user_uploads/Hedgehog_Sculpture_Playground_at_Choa_Chu_Kang_3.jpg"", ""source_credit"": ""parklab""}]",369.0,103.74154279999999,1.3793266,Choa Chu Kang,West Region,True,parklab.json
Zebra-Themed Playground at 283-284 Choa Chu Kang,Parklab,Distinctively designed zebra-themed playground for excitement.,"This distinctively designed zebra-themed playground brings stripes of excitement and exploration to your neighborhood, enriching residents’ active and creative lifestyles. The playground features various play structures and equipment that encourage physical activity and creativity. The zebra theme adds a unique and playful element to the space, inspiring children to imagine and create their own stories and adventures. The playground is designed to be inclusive and accessible to all children, regardless of their abilities. It aims to promote a healthy and active lifestyle among the residents by providing a fun and interactive play space. The design incorporates elements that stimulate creativity and physical activity, making it a valuable addition to the community.",https://www.parklab.com.sg/portfolio/publicresidences/,activity,https://www.parklab.com.sg/portfolio/publicresidences/,True,Free,Free,0.0,0.0,0.0,12 years old and below,0.0,12.0,Available daily,Available daily,1970-01-01T00:00:00,2099-12-31T23:59:00,283-284 Choa Chu Kang Ave 2,,"zebra , sensory, slide, neighborhood, neighbourhood, merry-go-round","283 Choa Chu Kang Ave 3, #12-410, Singapore 680283",Outdoor Playground,"[{""url"": """", ""original_url"": ""https://www.parklab.com.sg/portfolios/283-284-choa-chu-kang-ave-2/"", ""filename"": ""Zebra_Themed_Playground_at_283_284_Choa_Chu_Kang_1.jpg"", ""local_path"": ""events_output/outdoor_add/images/user_uploads/Zebra_Themed_Playground_at_283_284_Choa_Chu_Kang_1.jpg"", ""source_credit"": ""parklab""}, {""url"": """", ""original_url"": ""https://www.parklab.com.sg/portfolios/283-284-choa-chu-kang-ave-2/"", ""filename"": ""Zebra_Themed_Playground_at_283_284_Choa_Chu_Kang_2.jpg"", ""local_path"": ""events_output/outdoor_add/images/user_uploads/Zebra_Themed_Playground_at_283_284_Choa_Chu_Kang_2.jpg"", ""source_credit"": ""parklab""}, {""url"": """", ""original_url"": ""https://www.parklab.com.sg/portfolios/283-284-choa-chu-kang-ave-2/"", ""filename"": ""Zebra_Themed_Playground_at_283_284_Choa_Chu_Kang_3.jpg"", ""local_path"": ""events_output/outdoor_add/images/user_uploads/Zebra_Themed_Playground_at_283_284_Choa_Chu_Kang_3.jpg"", ""source_credit"": ""parklab""}]",370.0,103.74299909999999,1.379626,Choa Chu Kang,West Region,True,parklab.json
A Feathered Friend’s Playground Adventure,Parklab,Colourful Parrot play-set creates a welcoming vibe.,"Located at 274 Choa Chu Kang Ave 2, this playground is part of a Neighbourhood Renewal Programme (NRP) that merges creativity and functional play values for kid’s exploration. The iconic playground serves as a focal point for residents, offering a refreshing and visually appealing space. The design incorporates a big-sized friendly Parrot play-set, creating a welcoming vibe for children. It allows for exploration and imaginative play, making it a vibrant and engaging environment for kids in the Choa Chu Kang Estate. The playground is designed to be visible and appealing from the surrounding high-rise HDB buildings.",https://www.parklab.com.sg/portfolio/publicresidences/,activity,https://www.parklab.com.sg/portfolio/publicresidences/,True,Free,Free,0.0,0.0,0.0,12 years old and below,0.0,12.0,Available daily,Available daily,1970-01-01T00:00:00,2099-12-31T23:59:00,274 Choa Chu Kang Ave 2,,"Parrot, slide, merry-go-round, neighborhood, neighbourhood","274 Choa Chu Kang Ave 2, Singapore 680274",Outdoor Playground,"[{""url"": ""https://www.parklab.com.sg/wp-content/uploads/2024/08/WhatsApp-Image-2024-07-16-at-18.03.01-4.jpeg"", ""original_url"": ""https://www.parklab.com.sg/wp-content/uploads/2024/08/WhatsApp-Image-2024-07-16-at-18.03.01-4.jpeg"", ""filename"": ""A_Feathered_Friend_s_Playground_Adventure_1.jpg"", ""local_path"": ""events_output/outdoor_add/images/A_Feathered_Friend_s_Playground_Adventure_1.jpg"", ""source_credit"": ""Parklab""}, {""url"": """", ""original_url"": ""https://www.parklab.com.sg/portfolios/nrp-chao-chu-kang/"", ""filename"": ""A_Feathered_Friend_s_Playground_Adventure_2.jpeg"", ""local_path"": ""events_output/outdoor_add/images/A_Feathered_Friend_s_Playground_Adventure_2.jpeg"", ""source_credit"": ""parklab""}, {""url"": """", ""original_url"": ""https://www.parklab.com.sg/portfolios/nrp-chao-chu-kang/"", ""filename"": ""A_Feathered_Friend_s_Playground_Adventure_3.jpeg"", ""local_path"": ""events_output/outdoor_add/images/A_Feathered_Friend_s_Playground_Adventure_3.jpeg"", ""source_credit"": ""parklab""}, {""url"": """", ""original_url"": ""https://www.parklab.com.sg/portfolios/nrp-chao-chu-kang/"", ""filename"": ""A_Feathered_Friend_s_Playground_Adventure_4.jpeg"", ""local_path"": ""events_output/outdoor_add/images/A_Feathered_Friend_s_Playground_Adventure_4.jpeg"", ""source_credit"": ""parklab""}]",381.0,103.74282199999999,1.379378,Choa Chu Kang,West Region,True,parklab.json
Fitness Meets Fun at Toa Payoh Lorong 1,Parklab,A space where fitness meets fun for everyone.,"Located at 128 Toa Payoh Lorong 1, this space encourages fitness and fun for all. It's designed to be a place where people can make the most of their time by engaging in physical activities. The area promotes a healthy lifestyle and provides an environment where friends and family can come together to get moving. It is designed to encourage physical activity and community engagement, making it a valuable addition to the Toa Payoh neighborhood. The space is open to everyone, promoting inclusivity and a sense of community.",https://www.parklab.com.sg/portfolio/publicresidences/,activity,https://www.parklab.com.sg/portfolio/publicresidences/,True,Free,Free,0.0,0.0,0.0,12 years old and below,0.0,12.0,Available daily,Available daily,1970-01-01T00:00:00,2099-12-31T23:59:00,128 Toa Payoh Lorong 1,,"community, exercise, neighborhood, neighbourhood, climb, rope, fitness","128 Lor 1 Toa Payoh, Singapore 310128",Outdoor Playground,"[{""url"": """", ""original_url"": ""https://www.parklab.com.sg/portfolios/128-toa-payoh-lorong-1/"", ""filename"": ""Fitness_Meets_Fun_at_Toa_Payoh_Lorong_1_1.jpeg"", ""local_path"": ""events_output/outdoor_add/images/user_uploads/Fitness_Meets_Fun_at_Toa_Payoh_Lorong_1_1.jpeg"", ""source_credit"": ""parklab""}, {""url"": """", ""original_url"": ""https://www.parklab.com.sg/portfolios/128-toa-payoh-lorong-1/"", ""filename"": ""Fitness_Meets_Fun_at_Toa_Payoh_Lorong_1_2.jpeg"", ""local_path"": ""events_output/outdoor_add/images/user_uploads/Fitness_Meets_Fun_at_Toa_Payoh_Lorong_1_2.jpeg"", ""source_credit"": ""parklab""}, {""url"": """", ""original_url"": ""https://www.parklab.com.sg/portfolios/128-toa-payoh-lorong-1/"", ""filename"": ""Fitness_Meets_Fun_at_Toa_Payoh_Lorong_1_3.jpg"", ""local_path"": ""events_output/outdoor_add/images/user_uploads/Fitness_Meets_Fun_at_Toa_Payoh_Lorong_1_3.jpg"", ""source_credit"": ""parklab""}, {""url"": ""https://www.parklab.com.sg/wp-content/uploads/2025/03/GH245564-scaled.jpeg"", ""original_url"": ""https://www.parklab.com.sg/wp-content/uploads/2025/03/GH245564-scaled.jpeg"", ""filename"": """", ""local_path"": """", ""source_credit"": ""Parklab""}]",382.0,103.84440579999999,1.3379959,Toa Payoh,Central Region,True,parklab.json
Nature-Inspired Playground at 264 Jurong Street 24,Parklab,Smiles Around Every Corner,"Nestled in the heart of Jurong East, 264 Jurong East Street 24 is a charming nature-inspired playground that brings the magic of the outdoors right into the neighbourhood. This beautifully crafted space combines play, imagination, and nature in one inviting spot. A central treehouse structure stands proudly amidst lush greenery, surrounded by slides, rope climbers, balancing beams, and interactive play panels that spark curiosity and adventure. Children can scale nets, spin, bounce on the tortoise spring rider, or explore hidden corners that encourage creative play, while parents can unwind nearby under the shade. Every detail is thoughtfully designed to blend fun with safety, giving kids the freedom to move, imagine, and grow in a natural, open-air setting. Whether it’s a weekend outing or an everyday escape after school, this playground transforms ordinary playtime into a woodland adventure — a place where laughter echoes, friendships bloom, and nature’s calm meets the joy of discovery.",https://www.parklab.com.sg/portfolio/publicresidences/,activity,https://www.parklab.com.sg/portfolio/publicresidences/,True,Free,Free,0.0,0.0,0.0,12 years old and below,0.0,12.0,Available daily,Available daily,1970-01-01T00:00:00,2099-12-31T23:59:00,264 Jurong Street 24,,"Nature, slide, merry-go-round, neighborhood, neighbourhood","264 Jurong East St 24, Singapore 600264",Outdoor Playground,"[{""url"": """", ""original_url"": ""https://www.parklab.com.sg/portfolios/264-jurong-east-street-24/"", ""filename"": ""Nature_Inspired_Playground_at_264_Jurong_Street_24_1.jpg"", ""local_path"": ""events_output/outdoor_add/images/user_uploads/Nature_Inspired_Playground_at_264_Jurong_Street_24_1.jpg"", ""source_credit"": ""parklab""}, {""url"": """", ""original_url"": ""https://www.parklab.com.sg/portfolios/264-jurong-east-street-24/"", ""filename"": ""Nature_Inspired_Playground_at_264_Jurong_Street_24_2.jpg"", ""local_path"": ""events_output/outdoor_add/images/user_uploads/Nature_Inspired_Playground_at_264_Jurong_Street_24_2.jpg"", ""source_credit"": ""parklab""}, {""url"": """", ""original_url"": ""https://www.parklab.com.sg/portfolios/264-jurong-east-street-24/"", ""filename"": ""Nature_Inspired_Playground_at_264_Jurong_Street_24_3.jpg"", ""local_path"": ""events_output/outdoor_add/images/user_uploads/Nature_Inspired_Playground_at_264_Jurong_Street_24_3.jpg"", ""source_credit"": ""parklab""}]",384.0,103.7414077,1.3436778999999999,Jurong East,West Region,True,parklab.json
Changi Airport Terminal 3 (Basement Level),Playpoint Asia,Changi Airport Terminal 3 Basement Level attraction.,"Attraction located at Changi Airport Terminal 3 Basement Level, offering various activities and amenities for families and children. This family-friendly venue provides a range of entertainment options suitable for different age groups. Visitors can enjoy interactive play areas, engaging games, and comfortable resting spots. The facility is designed to create a fun and relaxing environment for travelers and locals alike. With its convenient location and diverse offerings, it's an ideal place for families to spend quality time together before or after their flights. The attraction aims to provide a memorable experience for all visitors, ensuring a pleasant and enjoyable visit to Changi Airport.",https://playpoint.asia/projects/hospitality/?filter-country=singapore,activity,https://playpoint.asia/projects/hospitality/?filter-country=singapore,True,Free,Free,0.0,0.0,0.0,2 to 5 years old,2.0,5.0,Available daily,Available daily,1970-01-01T00:00:00,2099-12-31T23:59:00,Changi Airport Terminal 3,,"airplane, aeroplane, slide, rainbow, simulate",Terminal 3,Attraction; Mall related; Indoor Playground,"[{""url"": ""https://playpoint.asia/wp-content/uploads/ChangiT3_Feat01.jpg"", ""original_url"": ""https://playpoint.asia/wp-content/uploads/ChangiT3_Feat01.jpg"", ""filename"": ""333_Changi_Airport_Terminal_3_1.jpg"", ""local_path"": ""events_output/outdoor_add/images/333_Changi_Airport_Terminal_3_1.jpg"", ""source_credit"": ""Playpoint Asia""}, {""url"": """", ""original_url"": ""https://playpoint.asia/projects/hospitality/changi-airport-terminal-3-basement-level/"", ""filename"": ""Changi_Airport_Terminal_3__Basement_Level__2.jpg"", ""local_path"": ""events_output/outdoor_add/images/Changi_Airport_Terminal_3__Basement_Level__2.jpg"", ""source_credit"": ""playpoint""}, {""url"": """", ""original_url"": ""https://playpoint.asia/projects/hospitality/changi-airport-terminal-3-basement-level/"", ""filename"": ""Changi_Airport_Terminal_3__Basement_Level__3.jpg"", ""local_path"": ""events_output/outdoor_add/images/Changi_Airport_Terminal_3__Basement_Level__3.jpg"", ""source_credit"": ""playpoint""}]",333.0,103.9865064,1.3562695999999999,Changi,East Region,True,play_hospitality.json
Changi Airport Terminal 1 Transit Area,Playpoint Asia,Venue at Changi Airport Terminal 1 Transit Area.,"The Changi Airport Terminal 1 Transit Area offers a variety of amenities and attractions for travelers passing through. While specific details about family-friendly activities are not provided in the immediate context, transit areas in airports often include play areas for children, comfortable seating, and dining options suitable for families. These areas aim to provide a relaxing and convenient environment for passengers of all ages during their transit. The area is designed to cater to the needs of travelers, ensuring a pleasant experience while waiting for their flights. It typically includes facilities such as restrooms, information counters, and retail outlets.",https://playpoint.asia/projects/hospitality/?filter-country=singapore,activity,https://playpoint.asia/projects/hospitality/?filter-country=singapore,False,From $,Please contact for pricing,0.0,0.0,0.0,4 to 12 years old,4.0,12.0,Available daily,Available daily,1970-01-01T00:00:00,2099-12-31T23:59:00,Changi Airport Terminal 1,,"bird, slide, balance, climb",Terminal 1,Attraction,"[{""url"": ""https://playpoint.asia/wp-content/uploads/ChangiT1_Bird_Feat01.jpg"", ""original_url"": ""https://playpoint.asia/wp-content/uploads/ChangiT1_Bird_Feat01.jpg"", ""filename"": ""334_Changi_Airport_Terminal_1_1.jpg"", ""local_path"": ""events_output/outdoor_add/images/334_Changi_Airport_Terminal_1_1.jpg"", ""source_credit"": ""Playpoint Asia""}, {""url"": """", ""original_url"": ""https://playpoint.asia/projects/hospitality/changi-airport-terminal-1-transit-area/"", ""filename"": ""Changi_Airport_Terminal_1_Transit_Area_2.jpg"", ""local_path"": ""events_output/outdoor_add/images/Changi_Airport_Terminal_1_Transit_Area_2.jpg"", ""source_credit"": ""playpoint""}, {""url"": """", ""original_url"": ""https://playpoint.asia/projects/hospitality/changi-airport-terminal-1-transit-area/"", ""filename"": ""Changi_Airport_Terminal_1_Transit_Area_3.jpg"", ""local_path"": ""events_output/outdoor_add/images/Changi_Airport_Terminal_1_Transit_Area_3.jpg"", ""source_credit"": ""playpoint""}]",334.0,103.9903272,1.3618583,Changi,East Region,True,play_hospitality.json
