ID,title,organiser,blurb,description,guid,activity_or_event,url,is_free,price_display_teaser,price_display,price,min_price,min_price.1,age_group_display,min_age,max_age,datetime_display_teaser,datetime_display,start_datetime,end_datetime,venue_name,address_display,categories,images,longitude,latitude,checked,region,planning_area,label tag,keyword tag
299,PS.Cafe East Coast Park - Seaside Dining Venue,PS.Cafe,"Bright, airy space with seaside-inspired design.","PS.Cafe By The Sea, located in East Coast Park, offers a laid-back summer beach house vibe with white-washed walls and ocean blue upholstery. The menu features PS. classics and an extensive selection of seafood dishes. Guests can enjoy their meal inside with sea views or outdoors in the breezy patio dining area. Perfect for lazy brunches or evening dining. Reservations are not available on weekends and public holidays until 5.30pm, walk-ins are welcome during these times.",https://www.pscafe.com/pscafe-east-coast-park,event,https://www.pscafe.com/pscafe-east-coast-park,FALSE,From $5,Varies according to menu item,,,,Suitable for all ages,0,99,Available daily,"Sun - Thu & PH: 8am - 10pm, Fri, Sat & Eve of PH: 8am - 10.30pm",1970-01-01 0:00:00,2099-12-31 23:59:00,PS.Cafe East Coast Park,"1110 ECP, Singapore 449880",Kids-friendly dining,"[{""local_path"": ""events_output/event_1/images/user_uploads/PS_Cafe_East_Coast_Park___Seaside_Dining_Venue_1.webp"", ""filename"": ""PS_Cafe_East_Coast_Park___Seaside_Dining_Venue_1.webp"", ""original_url"": ""https://www.pscafe.com/pscafe-east-coast-park"", ""source_credit"": ""pscafe""}, {""local_path"": ""events_output/event_1/images/user_uploads/PS_Cafe_East_Coast_Park___Seaside_Dining_Venue_2.webp"", ""filename"": ""PS_Cafe_East_Coast_Park___Seaside_Dining_Venue_2.webp"", ""original_url"": ""https://www.pscafe.com/pscafe-east-coast-park"", ""source_credit"": ""pscafe""}, {""url"": ""https://images.squarespace-cdn.com/content/v1/5326c064e4b011eeaa057a38/1753069973335-VJ10ABSJD1Q6K8BNULZQ/ECP%2C+GW%2C+HAR+Brunch+Website+Banner-02.png"", ""source_credit"": ""PS.Cafe""}]",103.9243,1.304165,TRUE,East Region,Bedok,,
300,Tipsy Unicorn: Beach Club Paradise in Sentosa,Tipsy Unicorn,Dazzling beach club with curated events and delights.,"Tipsy Unicorn is a dazzling beach club nestled in Sentosa, creating spectacular moments through curated events, entertainment, fitness, and exceptional culinary delights. Set against a stunning beachfront backdrop, it offers an unforgettable trip to paradise. Enjoy basking in the golden rays or dancing under the enchanting moonlight. The venue provides a vibrant atmosphere suitable for families looking for a unique beach experience with various activities and dining options. It's perfect for those seeking a blend of relaxation and entertainment in a picturesque setting.",https://www.tipsyunicorn.com.sg/,activity,https://www.tipsyunicorn.com.sg/,FALSE,From $5,Varies according to menu item,,,,Suitable for all ages,0,99,Available daily,"Sun - Thu: 11am - 10pm, Fri - Sat: 11am - 12am (Adults only (18+) after 6pm on Fri - Sun, eve of PH)",1970-01-01 0:00:00,2099-12-31 23:59:00,Tipsy Unicorn,"36 Siloso Bch Walk, #01-01 Sentosa Island, 099007",Kids-friendly dining,"[{""url"": ""https://static.wixstatic.com/media/904a35_76824454761c4453886d94fbbd0210a7~mv2.jpg/v1/fill/w_2000,h_2000,al_c,q_100,usm_0.66_1.00_0.01,enc_avif,quality_auto/904a35_76824454761c4453886d94fbbd0210a7~mv2.jpg"", ""source_credit"": ""Tipsy Unicorn""}, {""url"": ""https://static.wixstatic.com/media/904a35_21dda4dc9d1f4c69af6d78b165d96755~mv2.jpg/v1/fill/w_2000,h_2000,al_c,q_100,usm_0.66_1.00_0.01,enc_avif,quality_auto/904a35_21dda4dc9d1f4c69af6d78b165d96755~mv2.jpg"", ""source_credit"": ""Tipsy Unicorn""}, {""url"": ""https://static.wixstatic.com/media/904a35_5de2ace25bed4a9c977c456d7fc6602d~mv2.jpg/v1/fill/w_2000,h_2000,al_c,q_100,usm_0.66_1.00_0.01,enc_avif,quality_auto/904a35_5de2ace25bed4a9c977c456d7fc6602d~mv2.jpg"", ""source_credit"": ""Tipsy Unicorn""}]",103.8139,1.254333,TRUE,Central Region,Southern Islands,,"sentosa, instagrammable"
301,"Frankie & Fern's: Brunch, Coffee, and Dinner Spot",Frankie & Fern's,"Brunch and coffee daily, dinner Fri-Sun, plus last Mondays.","Frankie & Fern's offers a delightful dining experience with brunch and coffee available every day. Dinner service is available from Friday to Sunday, providing a perfect setting for family meals. Additionally, they are open every last Monday of the month for dinner, making it a unique spot for a monthly treat. The restaurant aims to create a welcoming atmosphere for families and individuals alike, with a focus on quality food and friendly service. Enjoy a relaxed meal in a cozy environment, perfect for a casual outing or a special occasion.",https://www.frankienferns.house/,activity,https://www.frankienferns.house/,FALSE,From $5,Varies according to menu item,,,,Suitable for all ages,0,99,Available daily,"Mon – Thu: 9:30am - 5pm, Fri: 9:30am - 9:30pm, Weekends: 9am - 9:30pm",1970-01-01 0:00:00,2099-12-31 23:59:00,Frankie & Fern's,"211 Holland Ave, Holland Road Shopping Centre, 211 Holland Ave, #04-03 Lift beside UOB, Singapore 278967",Kids-friendly dining,"[{""local_path"": ""events_output/event_1/images/user_uploads/Frankie___Fern_s__Brunch__Coffee__and_Dinner_Spot_1.webp"", ""filename"": ""Frankie___Fern_s__Brunch__Coffee__and_Dinner_Spot_1.webp"", ""original_url"": ""https://www.frankienferns.house/menu"", ""source_credit"": ""frankienferns""}, {""local_path"": ""events_output/event_1/images/user_uploads/Frankie___Fern_s__Brunch__Coffee__and_Dinner_Spot_2.webp"", ""filename"": ""Frankie___Fern_s__Brunch__Coffee__and_Dinner_Spot_2.webp"", ""original_url"": ""https://www.frankienferns.house/menu"", ""source_credit"": ""frankienferns""}, {""url"": ""https://images.squarespace-cdn.com/content/v1/658ea0123b3219238da5661d/739d7139-93c6-424f-bcf4-59ee364e1c6a/DSCF1734.jpg"", ""source_credit"": ""Frankie & Fern's""}]",103.7956,1.310681,TRUE,Central Region,Queenstown,,brunch
302,East Coast Commune,East Coast Commune,Brunch with your little one by the beach,"Located in the heart of East Coast Park, East Coast Commune is a charming, sunlit café that blends laid-back coastal vibes with a menu full of fresh, wholesome flavors. Perfect for a post-ride coffee or a slow weekend brunch, the café offers everything from hearty breakfast plates and vibrant grain bowls to house-made bakes and specialty brews. Just steps from the beach, East Coast Commune is pet-friendly, family-friendly, and always welcoming. Whether you're fueling up or winding down, it’s a perfect pitstop by the sea.",https://www.eccommune.com/lbc,activity,https://www.eccommune.com,FALSE,From $5,Varies according to menu item,,,,Suitable for all ages,0,99,Available daily (except Tue),"Mon, Wed & Thur: 8am-5pm, Fri, Weekends: 8am- 9pm",1970-01-01 0:00:00,2099-12-31 23:59:00,East Coast Commune,"1000 ECP, #01-03, Singapore 449876",Kids-friendly dining,"[{""local_path"": ""events_output/event_1/images/user_uploads/East_Coast_Commune_1.webp"", ""filename"": ""East_Coast_Commune_1.webp"", ""original_url"": ""https://www.eccommune.com/"", ""source_credit"": ""eccommune""}, {""local_path"": ""events_output/event_1/images/user_uploads/East_Coast_Commune_2.webp"", ""filename"": ""East_Coast_Commune_2.webp"", ""original_url"": ""https://www.eccommune.com/"", ""source_credit"": ""eccommune""}, {""local_path"": ""events_output/event_1/images/user_uploads/East_Coast_Commune_3.webp"", ""filename"": ""East_Coast_Commune_3.webp"", ""original_url"": ""https://www.eccommune.com/"", ""source_credit"": ""eccommune""}]",103.9129,1.301317,TRUE,Central Region,Marine Parade,,
303,Arbora Hilltop Garden Dining Experience at Faber,Mount Faber Dining,Family-friendly oasis nestled in Mount Faber Peak.,"Arbora is a family-friendly dining destination nestled within the lush greenery of Mount Faber Peak. Refreshed with a brand-new canopy, it offers a cool and breezy atmosphere for all-day casual dining. Open from 11 AM to 9.30 PM daily, Arbora is perfect for family gatherings, featuring a spacious and playful setting where kids can explore while parents relax and enjoy delicious food. The restaurant provides a unique hilltop garden dining experience, making it an ideal spot for families seeking a relaxing and enjoyable meal amidst nature. It's a great place for kids to have fun and for parents to unwind.",https://mountfaberdining.com/pages/arbora,activity,https://mountfaberdining.com/pages/arbora,FALSE,From $5,Varies according to menu item,,,,Suitable for all ages,0,99,Available daily,"Available daily, 11am - 9.30pm",1970-01-01 0:00:00,2099-12-31 23:59:00,Arbora,"109 Mount Faber Rd, Mount Faber Peak, Singapore 099203",Kids-friendly dining,"[{""local_path"": ""events_output/event_1/images/user_uploads/Arbora_Hilltop_Garden_Dining_Experience_at_Faber_1.jpg"", ""filename"": ""Arbora_Hilltop_Garden_Dining_Experience_at_Faber_1.jpg"", ""original_url"": ""https://mountfaberdining.com/pages/arbora"", ""source_credit"": ""mountfaberdining""}, {""url"": ""https://mountfaberdining.com/cdn/shop/files/brand_page_pics_5.png?v=1721377237&width=1920"", ""source_credit"": ""Mount Faber Dining""}, {""url"": ""https://mountfaberdining.com/cdn/shop/files/toast_for_2_1.png?v=1748922525&width=1920"", ""source_credit"": ""Mount Faber Dining""}]",103.8193,1.271287,TRUE,Central Region,Bukit Merah,Play area,"mount faber, cable car"
304,Honest Food in Small Batches Experience,Batch,Quality and artisanality in everything we offer.,"Honest to goodness, it is our commitment to quality and artisanality in everything we offer to you and your little ones. Comfortable classics don't need to be overprocessed, think in-house sourdough, fresh pasta, and bakes. As we continually gain inspiration from what’s grown around us, escape from the hustle and bustle to a space that feels like a haven rather than an interruption to the iconic gardens.",https://www.batch.sg/,activity,https://www.batch.sg/,FALSE,From $5,Varies according to menu item,,,,Suitable for all ages,0,99,Available daily (except Mon),"Weekdays (except Mon): 9am - 6pm, Weekends: 8am -6pm",1970-01-01 0:00:00,2099-12-31 23:59:00,Batch,"26 Haig Rd, Singapore 438735",Kids-friendly dining,"[{""local_path"": ""events_output/event_1/images/user_uploads/Honest_Food_in_Small_Batches_Experience_1.webp"", ""filename"": ""Honest_Food_in_Small_Batches_Experience_1.webp"", ""original_url"": ""https://www.batch.sg/home"", ""source_credit"": ""batch""}, {""url"": ""https://images.squarespace-cdn.com/content/v1/665d3fc8af6ef24f0a9d549a/c05c8e1f-5182-4ac0-8c22-d89d9744207d/R70A3921.jpeg"", ""source_credit"": ""Batch""}]",103.8957,1.313289,TRUE,Central Region,Geylang,,
305,GRUB at Bishan Park - Family-Friendly Restaurant,GRUB,Dine amidst nature at Bishan Park River Plains.,"GRUB at Bishan Park River Plains offers a family-friendly dining experience with a diverse menu suitable for all ages. Enjoy a relaxed atmosphere with options for breakfast, lunch, and dinner. Perfect for a casual meal with the family, GRUB provides a welcoming environment and tasty food. Located in Bishan Park, it's a great choice for families enjoying the park. With a focus on quality ingredients and friendly service, GRUB ensures a pleasant dining experience for everyone. The menu includes a variety of options to cater to different tastes, ensuring that even the pickiest eaters will find something they enjoy. The restaurant also offers special menus for different times of the day, providing a range of choices for breakfast, lunch, and dinner.",https://grub.com.sg/#locations,activity,https://grub.com.sg/#locations,FALSE,From $5,Varies according to menu item,,,,Suitable for all ages,0,99,Available daily,"Weekdays: 11am - 10pm, Weekends/PH: 8.30am - 10pm",1970-01-01 0:00:00,2099-12-31 23:59:00,Bishan Park,"9 Bishan Pl, #01-38 Junction 8, Singapore 579837",Kids-friendly dining,"[{""url"": ""https://grub.com.sg/wp-content/uploads/2024/07/3-_-Grub-SG-_-Grub-Pasta-Kitchen-_-Small-Res.jpg"", ""source_credit"": ""GRUB""}]",103.8486,1.350907,TRUE,Central Region,Bishan,,
306,GRUB at Stevens - Family-Friendly Restaurant,GRUB,Enjoy delicious meals and a welcoming atmosphere at GRUB.,"GRUB at Bishan Park River Plains offers a family-friendly dining experience with a diverse menu suitable for all ages. Enjoy a relaxed atmosphere with options for breakfast, lunch, and dinner. Perfect for a casual meal with the family, GRUB provides a welcoming environment and tasty food. Located in Bishan Park, it's a great choice for families enjoying the park. With a focus on quality ingredients and friendly service, GRUB ensures a pleasant dining experience for everyone. The menu includes a variety of options to cater to different tastes, ensuring that even the pickiest eaters will find something they enjoy. The restaurant also offers special menus for different times of the day, providing a range of choices for breakfast, lunch, and dinner.",https://grub.com.sg/#locations,activity,https://grub.com.sg/#locations,FALSE,From $5,Varies according to menu item,,,,Suitable for all ages,0,99,Available daily,"Available daily, 12pm – 11pm",1970-01-01 0:00:00,2099-12-31 23:59:00,GRUB Restaurant,"30 Stevens Rd, #01-06 Novotel @ Stevens, Singapore 257840",Kids-friendly dining,"[{""local_path"": ""events_output/event_2/images/user_uploads/GRUB_at_Stevens___Family_Friendly_Restaurant_1.jpg"", ""filename"": ""GRUB_at_Stevens___Family_Friendly_Restaurant_1.jpg"", ""original_url"": ""https://grub.com.sg/#locations"", ""source_credit"": ""grub""}, {""url"": ""https://grub.com.sg/wp-content/uploads/2022/01/Grub-Fish-Burger-Landscape_LR-610x407.jpg"", ""source_credit"": ""GRUB""}]",103.8286,1.313634,TRUE,Central Region,Tanglin,,
307,Carrotsticks and Cravings - Robertson Quay Venue,Carrotsticks and Cravings,Healthy and delicious meals in a family-friendly space.,"Carrotsticks and Cravings at Robertson Quay offers a delightful dining experience with a focus on healthy and delicious meals. The venue provides a family-friendly atmosphere, making it a great spot for parents and kids to enjoy a meal together. The menu features a variety of options catering to different dietary needs and preferences, ensuring everyone finds something they love. Enjoy fresh ingredients and flavorful dishes in a relaxed setting, perfect for a casual outing with the family.",https://www.carrotsticksandcravings.com/,activity,https://www.carrotsticksandcravings.com/,FALSE,From $5,Varies according to menu item,,,,Suitable for all ages,0,99,Available daily,"Available daily, 8am - 5pm",1970-01-01 0:00:00,2099-12-31 23:59:00,Robertson Quay,"7 Rodyk St, #01-34, Singapore 238215",Kids-friendly dining,"[{""local_path"": ""events_output/event_1/images/user_uploads/Carrotsticks_and_Cravings___Robertson_Quay_Venue_1.jpg"", ""filename"": ""Carrotsticks_and_Cravings___Robertson_Quay_Venue_1.jpg"", ""original_url"": ""https://www.carrotsticksandcravings.com/"", ""source_credit"": ""carrotsticksandcravings""}]",103.8377,1.289927,TRUE,Central Region,Singapore River,,
308,Platform 1094: A Wizarding Dining Experience,FRESH FRUITS LAB GROUP,A magical fantasy world with mystical decor.,"Step into Platform 1094 and be transported to a magical fantasy world. The decor and food are specially designed to exude an air of magic, perfect for families and kids who love wizardry. Enjoy a unique dining experience with Insta-worthy backgrounds and props. It's a great place for families to enjoy a themed dining experience. The restaurant offers a unique and immersive environment that caters to both adults and children, making it a memorable outing for all ages. The magical theme is sure to captivate the imagination of younger visitors.",https://ffl.com.sg/concepts/platform-1094/,activity,https://ffl.com.sg/concepts/platform-1094/,FALSE,From $5,Varies according to menu item,,,,Suitable for all ages,0,99,Available daily (except Mon),"Available daily (except Mon), 11am - 10pm",1970-01-01 0:00:00,2099-12-31 23:59:00,Platform 1094,"1094 Serangoon Rd, Singapore 328192",Kids-friendly dining,"[{""local_path"": ""events_output/event_1/images/user_uploads/Platform_1094__A_Wizarding_Dining_Experience_1.webp"", ""filename"": ""Platform_1094__A_Wizarding_Dining_Experience_1.webp"", ""original_url"": ""https://ffl.com.sg/concepts/platform-1094/"", ""source_credit"": ""ffl""}, {""local_path"": ""events_output/event_1/images/user_uploads/Platform_1094__A_Wizarding_Dining_Experience_2.webp"", ""filename"": ""Platform_1094__A_Wizarding_Dining_Experience_2.webp"", ""original_url"": ""https://ffl.com.sg/concepts/platform-1094/"", ""source_credit"": ""ffl""}]",103.8651,1.323759,TRUE,Central Region,Kallang,,harry potter
309,Fusion Spoon at Botanic Garden Self-Order Kiosk,Fusion Spoon,Order foods & drinks at our self-order & payment kiosk,"Fusion Spoon at Botanic Garden offers a self-order and payment kiosk for a convenient dining experience. Customers can select dine-in or takeaway options, choose food and drink items, confirm their order, and choose a mode of payment. After collecting the receipt, customers wait for their queue number to be called and collect their orders from the designated collection point. There is no service charge, and customers are encouraged to return their trays to the tray return station. The venue offers a variety of food and drink options suitable for families and children visiting the Botanic Gardens, including bingsu and waffle ice cream available at the Bingsu Corner. This family-friendly dining spot provides a hassle-free experience for parents and kids alike.",https://fpgrp.com.sg/fusion-spoon-at-botanic-garden/menu-main.html,activity,https://fpgrp.com.sg/fusion-spoon-at-botanic-garden/menu-main.html,FALSE,From $5,Varies according to menu item,,,,Suitable for all ages,0,99,Available daily,"Weekdays: 9am – 9pm, Weekend/PH: 7.30am - 9.30pm",1970-01-01 0:00:00,2099-12-31 23:59:00,Fusion Spoon at Botanic Garden,"Singapore Botanic Gardens, Tanglin Gate, 1 Cluny Rd, #B1-00, Singapore 259569",Kids-friendly dining,"[{""local_path"": ""events_output/event_1/images/user_uploads/Fusion_Spoon_at_Botanic_Garden_Self_Order_Kiosk_1.jpg"", ""filename"": ""Fusion_Spoon_at_Botanic_Garden_Self_Order_Kiosk_1.jpg"", ""original_url"": ""https://fpgrp.com.sg/fusion-spoon-at-botanic-garden/menu-main.html"", ""source_credit"": ""fpgrp""}, {""local_path"": ""events_output/event_1/images/user_uploads/Fusion_Spoon_at_Botanic_Garden_Self_Order_Kiosk_2.jpg"", ""filename"": ""Fusion_Spoon_at_Botanic_Garden_Self_Order_Kiosk_2.jpg"", ""original_url"": ""https://fpgrp.com.sg/fusion-spoon-at-botanic-garden/menu-main.html"", ""source_credit"": ""fpgrp""}, {""local_path"": ""events_output/event_1/images/user_uploads/Fusion_Spoon_at_Botanic_Garden_Self_Order_Kiosk_3.jpg"", ""filename"": ""Fusion_Spoon_at_Botanic_Garden_Self_Order_Kiosk_3.jpg"", ""original_url"": ""https://fpgrp.com.sg/fusion-spoon-at-botanic-garden/menu-main.html"", ""source_credit"": ""fpgrp""}, {""url"": ""https://fpgrp.com.sg/fusion-spoon-at-botanic-garden/images/logo.png"", ""source_credit"": ""Fusion Spoon""}]",103.8182,1.307957,TRUE,Central Region,Tanglin,Play area,"Botanical garden, brunch"
310,Baker & Cook - Dempsey,Baker & Cook,Dempsey Playground Reopens!,"Baker & Cook Dempsey offers a delightful experience for families with its reopened playground. The playground provides a safe and fun environment for children to play while parents can enjoy the bakery's offerings. It features various play structures designed to entertain kids of different ages. The reopening is scheduled from July to September, making it a perfect spot for a family outing. Enjoy freshly baked goods and coffee while the kids have a blast at the playground. The venue is family-friendly and welcomes children of all ages to enjoy the facilities.",https://www.bakerandcook.com/,activity,https://www.bakerandcook.com/,FALSE,From $5,Prices vary according to menu item,,,,Suitable for all ages,0,99,Available daily,"Mon - Thu: 8am - 9.30pm, Fri - Sun: 8am - 10pm",1970-01-01 0:00:00,2099-12-31 23:59:00,Baker & Cook Dempsey,"30C Loewen Rd, Singapore 248839",Kids-friendly dining,"[{""local_path"": ""events_output/event_1/images/user_uploads/Baker___Cook___Dempsey_1.webp"", ""filename"": ""Baker___Cook___Dempsey_1.webp"", ""original_url"": ""https://www.bakerandcook.com/locations"", ""source_credit"": ""bakerandcook""}, {""local_path"": ""events_output/event_1/images/user_uploads/Baker___Cook___Dempsey_2.webp"", ""filename"": ""Baker___Cook___Dempsey_2.webp"", ""original_url"": ""https://www.bakerandcook.com/happenings/playground-reopen"", ""source_credit"": ""bakerandcook""}, {""local_path"": ""events_output/event_1/images/user_uploads/Baker___Cook___Dempsey_3.webp"", ""filename"": ""Baker___Cook___Dempsey_3.webp"", ""original_url"": ""https://www.bakerandcook.com/happenings/playground-reopen"", ""source_credit"": ""bakerandcook""}]",103.8123,1.303557,TRUE,Central Region,Tanglin,Play area,
311,Hard Rock Cafe Singapore - Orchard Road Location,Hard Rock Cafe,"Located in Orchard Road, Singapore's shopping hub.","Hard Rock Cafe Singapore is located at the beginning of Orchard Road, Singapore's premier shopping destination. The cafe offers a family-friendly dining experience with a rock 'n' roll atmosphere. It features a restaurant, bar, and a Rock Shop where you can purchase Hard Rock Cafe merchandise. The venue is accessible by car and public transportation, with parking readily available for cars. While bus parking facilities are not available, the central location makes it easy to reach. Enjoy classic American cuisine and live music in a vibrant setting suitable for families and music lovers of all ages. The cafe provides a unique blend of dining and entertainment.",https://cafe.hardrock.com/singapore/,event,https://cafe.hardrock.com/singapore/,TRUE,From $5,"Varies according to menu item. Kids dine free on weekends, 12pm - 5pm",,,,Suitable for all ages,0,99,Available daily,"Available daily, 11am - 11pm",1970-01-01 0:00:00,2099-12-31 23:59:00,Hard Rock Cafe Singapore,"50 Cuscaden Rd, #02-01 Hpl House, Singapore 249724",Kids-friendly dining,"[{""local_path"": ""events_output/event_1/images/user_uploads/Hard_Rock_Cafe_Singapore___Orchard_Road_Location_1.jpeg"", ""filename"": ""Hard_Rock_Cafe_Singapore___Orchard_Road_Location_1.jpeg"", ""original_url"": ""https://cafe.hardrock.com/singapore/"", ""source_credit"": ""hardrock""}, {""local_path"": ""events_output/event_1/images/user_uploads/Hard_Rock_Cafe_Singapore___Orchard_Road_Location_2.jpg"", ""filename"": ""Hard_Rock_Cafe_Singapore___Orchard_Road_Location_2.jpg"", ""original_url"": ""https://cafe.hardrock.com/singapore/"", ""source_credit"": ""hardrock""}]",103.8281,1.305777,TRUE,Central Region,Orchard,Kids dine free,"messi, burger"
312,Huber's Bistro: A Culinary Experience for Families,Huber's,"Enjoy quality dining in a relaxed, family-friendly bistro.","Huber's Bistro offers a delightful culinary experience for families. With a diverse menu catering to various tastes, it's an ideal spot for a relaxed meal. The bistro provides a welcoming atmosphere where families can enjoy quality time together while savoring delicious food. From hearty mains to delectable desserts, there's something for everyone. Please note that the bistro is closed on Mondays, including public holidays that fall on Mondays, and reservations are not accepted.",https://www.hubers.com.sg/Bistro.aspx,activity,https://www.hubers.com.sg/Bistro.aspx,FALSE,From $5,Varies according to menu item,,,,Suitable for all ages,0,99,Available daily (except Mon),"Weekday (except Mon): 11am - 10pm, Weekends/PH: 9.30am - 10pm",1970-01-01 0:00:00,2099-12-31 23:59:00,Huber's Bistro,"22 Dempsey Rd, Singapore 249679",Kids-friendly dining,"[{""local_path"": ""events_output/event_1/images/user_uploads/Huber_s_Bistro__A_Culinary_Experience_for_Families_1.jpg"", ""filename"": ""Huber_s_Bistro__A_Culinary_Experience_for_Families_1.jpg"", ""original_url"": ""https://www.hubers.com.sg/Default.aspx"", ""source_credit"": ""hubers""}, {""url"": ""https://www.hubers.com.sg/Upload/BistroBanner/BistroBanner20210716102453674.jpg"", ""source_credit"": ""Huber's""}]",103.81,1.30718,TRUE,Central Region,Tanglin,Play area,steak
